SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,TEAM_ID,GP,MIN,PTS,REB,AST,STL,BLK,OFF_RATING,DEF_RATING,TS_PCT,USG_PCT,PIE,WS,PER,ALL_NBA,ALL_NBA_TM
1996-97,Chris Jent,NYK,1137,1610612752,3,9.34,2.0,0.33,0.33,0.0,0.0,122.7,161.9,0.5,0.222,0.029,-0.3,22.51,0,0
1996-97,Chris Mills,CLE,168,1610612739,80,3167.43,13.4,6.21,2.48,1.08,0.51,103.7,99.9,0.544,0.172,0.109,5.65,16.58,0,0
1996-97,Chris Morris,UTA,356,1610612762,73,975.56,4.3,2.22,0.59,0.4,0.33,100.5,107.5,0.486,0.176,0.064,-4.39,13.31,0,0
1996-97,Chris Mullin,GSW,904,1610612744,79,2730.1,14.47,4.01,4.08,1.65,0.42,105.0,110.2,0.645,0.172,0.12,-9.0,18.1,0,0
1996-97,Chris Robinson,VAN,997,1610612763,41,679.71,4.59,1.73,1.59,0.68,0.22,100.7,111.9,0.486,0.152,0.045,-4.58,12.37,0,0
1996-97,Chris Webber,WAS,185,1610612764,72,2808.56,20.07,10.32,4.6,1.69,1.9,105.8,103.0,0.554,0.241,0.15,6.63,22.25,0,0
1996-97,Chris Whitney,WAS,43,1610612764,82,1115.37,5.24,1.27,2.22,0.6,0.05,98.7,97.7,0.566,0.175,0.12,3.59,17.81,0,0
1996-97,Christian Laettner,ATL,363,1610612737,82,3133.66,18.12,8.78,2.72,1.24,0.78,108.1,97.6,0.562,0.232,0.142,15.79,20.85,0,0
1996-97,Chucky Brown,MIL,359,1610612749,70,754.46,2.91,2.11,0.4,0.13,0.31,103.3,107.7,0.552,0.121,0.067,-1.72,12.66,0,0
1996-97,Clar. Weatherspoon,PHI,221,1610612755,82,2950.9,12.23,8.28,1.71,0.9,1.05,101.0,109.5,0.537,0.153,0.101,-10.14,15.17,0,0
1996-97,Clifford Robinson,POR,361,1610612757,81,3078.24,15.11,3.96,3.22,1.22,0.81,106.9,102.3,0.519,0.196,0.082,-0.77,15.94,0,0
1996-97,Clifford Rozier,TOR,32,1610612761,42,734.73,4.5,5.57,0.74,0.57,1.05,102.3,108.3,0.471,0.136,0.08,-0.51,13.81,0,0
1996-97,Clyde Drexler,HOU,17,1610612745,62,2272.22,17.97,6.02,5.71,1.95,0.58,108.4,100.5,0.548,0.227,0.134,7.82,22.03,0,0
1996-97,Corie Blount,LAL,916,1610612747,58,1004.48,4.16,4.76,0.6,0.38,0.45,100.7,100.2,0.559,0.116,0.078,3.82,11.85,0,0
1996-97,Corliss Williamson,SAC,722,1610612758,79,1985.31,11.58,4.13,1.57,0.76,0.62,103.1,107.4,0.535,0.227,0.082,-5.28,15.97,0,0
1996-97,Cory Alexander,SAS,724,1610612759,80,1450.73,7.21,1.54,3.18,1.02,0.2,100.3,110.7,0.528,0.213,0.089,-8.3,17.7,0,0
1996-97,Craig Ehlo,SEA,378,1610612760,62,850.74,3.45,1.77,1.1,0.58,0.06,103.6,98.1,0.412,0.161,0.048,0.78,11.52,0,0
1996-97,Cuonzo Martin,MIL,733,1610612749,3,13.03,0.0,0.33,0.33,0.0,0.0,100.0,97.1,0.0,0.211,-0.167,-0.14,-2.14,0,0
1996-97,Dale Davis,IND,905,1610612754,80,2589.71,10.4,9.65,0.74,0.75,0.96,103.3,102.5,0.532,0.157,0.109,5.36,15.28,0,0
1996-97,Dale Ellis,DEN,107,1610612743,82,2942.13,16.6,3.57,2.01,0.73,0.09,101.3,109.7,0.537,0.211,0.08,-14.65,16.71,0,0
1996-97,Damon Stoudamire,TOR,757,1610612761,81,3313.63,20.17,4.07,8.75,1.52,0.16,103.4,106.7,0.516,0.249,0.132,-0.03,21.69,0,0
1996-97,Dan Majerle,MIA,105,1610612748,36,1262.24,10.83,4.5,3.22,1.5,0.39,103.7,98.7,0.523,0.154,0.103,2.85,15.61,0,0
1996-97,Dan Schayes,ORL,7,1610612753,45,541.09,2.96,2.78,0.31,0.33,0.36,97.5,97.7,0.465,0.147,0.058,1.51,11.5,0,0
1996-97,Dana Barros,BOS,344,1610612738,24,706.72,12.5,2.0,3.38,1.08,0.25,96.9,105.3,0.552,0.183,0.102,-1.85,17.08,0,0
1996-97,Danny Ferry,CLE,198,1610612739,82,2631.56,10.61,4.11,1.84,0.68,0.39,103.9,101.6,0.523,0.173,0.079,-0.54,14.94,0,0
1996-97,Danny Manning,PHX,330,1610612756,77,2136.98,13.51,6.09,2.25,1.05,0.96,108.2,105.2,0.574,0.223,0.118,-0.89,18.95,0,0
1996-97,Darrell Armstrong,ORL,353,1610612753,67,1008.96,6.13,1.13,2.61,0.91,0.13,101.1,100.1,0.525,0.213,0.092,1.57,17.17,0,0
1996-97,Darrick Martin,LAC,239,1610612746,82,1819.66,10.89,1.38,4.13,0.7,0.02,105.5,108.9,0.539,0.229,0.105,-5.33,20.26,0,0
1996-97,Darrin Hancock,ATL,241,1610612737,24,135.87,1.75,0.75,0.5,0.38,0.04,93.1,98.7,0.51,0.152,0.069,0.15,14.47,0,0
1996-97,Darvin Ham,IND,1032,1610612754,36,314.71,2.31,1.56,0.39,0.25,0.22,97.4,98.3,0.536,0.137,0.027,1.12,8.87,0,0
1996-97,David Robinson,SAS,764,1610612759,6,146.9,17.67,8.5,1.33,1.0,1.0,102.5,94.7,0.559,0.322,0.205,1.46,30.86,0,0
1996-97,David Vaughn,ORL,710,1610612753,35,296.73,2.31,2.71,0.2,0.23,0.43,88.0,94.0,0.475,0.168,0.073,1.65,11.87,0,0
1996-97,David Wesley,BOS,133,1610612738,74,2992.4,16.76,3.57,7.26,2.2,0.18,103.2,109.6,0.563,0.187,0.111,-8.17,18.18,0,0
1996-97,David Wingate,SEA,766,1610612760,65,929.13,3.63,1.14,1.23,0.68,0.08,104.6,103.1,0.509,0.129,0.052,-1.07,11.44,0,0
1996-97,David Wood,MIL,116,1610612749,46,234.9,1.24,0.59,0.28,0.15,0.13,95.2,97.0,0.621,0.092,0.055,0.79,11.3,0,0
1996-97,Dean Garrett,MIN,1051,1610612750,68,1664.0,7.97,7.28,0.56,0.59,1.4,104.9,104.3,0.603,0.132,0.122,2.22,17.1,0,0
1996-97,Dee Brown,BOS,244,1610612738,21,521.88,7.62,2.29,3.19,1.48,0.33,98.0,104.4,0.455,0.161,0.074,-1.43,14.76,0,0
1996-97,Dell Curry,CHH,209,1610612766,68,2081.31,14.82,3.1,1.74,0.88,0.21,108.2,106.6,0.561,0.222,0.1,-7.15,18.73,0,0
1996-97,Dell Demps,ORL,725,1610612753,2,9.26,1.0,0.0,0.0,0.5,0.0,36.4,87.0,0.258,0.182,-0.111,0.02,11.04,0,0
1996-97,Dennis Rodman,CHI,23,1610612741,55,1949.37,5.65,16.05,3.09,0.58,0.35,115.2,99.2,0.479,0.099,0.121,12.78,14.19,0,0
1996-97,Dennis Scott,ORL,192,1610612753,66,2166.24,12.47,3.08,2.11,1.14,0.29,105.0,102.4,0.519,0.184,0.078,-2.79,16.34,0,0
1996-97,Derek Fisher,LAL,965,1610612747,80,916.36,3.86,1.21,1.49,0.51,0.06,96.7,93.7,0.491,0.179,0.078,3.91,14.37,0,0
1996-97,Derek Harper,DAL,157,1610612742,75,2212.34,10.04,1.83,4.28,1.23,0.16,100.0,106.7,0.516,0.178,0.09,-6.81,15.43,0,0
1996-97,Derek Strong,ORL,400,1610612753,82,2005.13,8.52,6.33,0.89,0.59,0.24,100.8,101.5,0.513,0.179,0.101,3.33,15.76,0,0
1996-97,Derrick Alston,ATL,308,1610612737,2,10.6,0.0,2.0,0.0,0.0,0.0,77.3,114.3,0.0,0.207,-0.143,-0.12,0.91,0,0
1996-97,Derrick Coleman,PHI,934,1610612755,57,2098.8,18.11,10.05,3.39,0.88,1.32,102.1,107.7,0.518,0.237,0.127,-5.2,19.65,0,0
1996-97,Derrick McKey,IND,365,1610612754,50,1447.15,8.0,4.82,2.7,0.94,0.6,101.8,101.7,0.462,0.166,0.074,0.27,13.15,0,0
1996-97,Detlef Schrempf,SEA,96,1610612760,61,2192.0,16.75,6.46,4.36,1.03,0.26,111.2,99.1,0.592,0.21,0.139,8.13,20.3,0,0
1996-97,Devin Gray,SAS,1070,1610612759,6,49.33,3.0,2.33,0.33,0.67,0.0,85.8,127.4,0.319,0.252,-0.011,-0.94,12.51,0,0
